paper_id,title,year,doi,provider,provider_id,source_rank,source_query,source_query_reason,retrieval_query_id,retrieval_logical_query_id,retrieval_phase,retrieval_tier,requires_title_screening,local_relevance_tier,screening_decision,screening_confidence,screening_reason,title_anchor_present,title_relevance_tier,title_matched_main_topics,title_matched_secondary_topics,title_missing_main_topics,screening_status,needs_manual_review,llm_error_type,llm_error_message
10_1016_j_media_2020_101694,Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,2020,10.1016/j.media.2020.101694,openalex,https://openalex.org/W3022315685,1,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_3389_fpubh_2022_853294,Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,2022,10.3389/fpubh.2022.853294,openalex,https://openalex.org/W4214898695,2,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_3389_fncom_2023_1038636,Conventional machine learning and deep learning in Alzheimer's disease diagnosis using neuroimaging: A review,2023,10.3389/fncom.2023.1038636,openalex,https://openalex.org/W4319321475,4,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_1016_j_neuroimage_2020_117203,Predicting Alzheimer's disease progression using deep recurrent neural networks,2020,10.1016/j.neuroimage.2020.117203,openalex,https://openalex.org/W3047286661,5,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_3389_fpubh_2022_834032,Evaluation of Neuro Images for the Diagnosis of Alzheimer's Disease Using Deep Learning Neural Network,2022,10.3389/fpubh.2022.834032,openalex,https://openalex.org/W4210296429,7,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_1002_alz_13390,Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,2023,10.1002/alz.13390,openalex,https://openalex.org/W4386347024,8,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,2021,10.1109/access.2021.3090474,openalex,https://openalex.org/W3173195087,9,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_1016_s2589_7500(22)00169_8,"A deep learning model for detection of Alzheimer's disease based on retinal photographs: a retrospective, multicentre case-control study",2022,10.1016/s2589-7500(22)00169-8,openalex,https://openalex.org/W4298127944,11,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_1093_jamia_ocac168,Multimodal Attention-based Deep Learning for Alzheimer's Disease Diagnosis,2022,10.1093/jamia/ocac168,openalex,https://openalex.org/W4296800293,13,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
10_1016_j_mri_2021_02_001,A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification,2021,10.1016/j.mri.2021.02.001,openalex,https://openalex.org/W3131390313,14,"(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence"")",Tier 0: anchor and all main topics.,tier_0_all_main,tier_0_all_main,field_relaxed,0,false,0,include,high,Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.,yes,0,alzheimers_disease; artificial_intelligence,,,deterministic_include,no,,
