title,categoric,semantic,paper_id,year,doi,computational_methods_detail
Alterations in Memory Networks in Mild Cognitive Impairment and Alzheimer's Disease: An Independent Component Analysis,statistical_modeling,This paper investigates memory-related functional MRI activity in Alzheimer's disease using independent component analysis.,10_1523_jneurosci_2250_06_2006,2006,10.1523/jneurosci.2250-06.2006,statistical_modeling
Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis,machine_learning,This paper presents deep learning methods for diagnosing Alzheimer's Disease and Mild Cognitive Impairment through hierarchical feature representation and multimodal fusion.,10_1016_j_neuroimage_2014_06_077,2014,10.1016/j.neuroimage.2014.06.077,machine_learning
A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease,machine_learning,The paper presents a deep learning approach to predict Alzheimer's disease progression from mild cognitive impairment.,10_1016_j_neuroimage_2019_01_031,2019,10.1016/j.neuroimage.2019.01.031,machine_learning
Network Analysis of Intrinsic Functional Brain Connectivity in Alzheimer's Disease,statistical_modeling,This study demonstrates disrupted organization of functional brain networks in Alzheimer's disease using wavelet analysis and small-world metrics from fMRI data.,10_1371_journal_pcbi_1000100,2008,10.1371/journal.pcbi.1000100,statistical_modeling
Early diagnosis of Alzheimer's disease with deep learning,machine_learning,This paper presents a deep learning architecture to enhance early diagnosis of Alzheimer's disease and Mild Cognitive Impairment.,10_1109_isbi_2014_6868045,2014,10.1109/isbi.2014.6868045,machine_learning; bioinformatics
Deep Learning-Based Feature Representation for AD/MCI Classification,machine_learning,This paper presents a deep learning approach for feature representation aimed at classifying Alzheimer's disease and mild cognitive impairment.,10_1007_978_3_642_40763_5_72,2013,10.1007/978-3-642-40763-5_72,machine_learning
Deep Learning in Alzheimer's Disease: Diagnostic Classification and Prognostic Prediction Using Neuroimaging Data,machine_learning,This paper reviews deep learning methodologies applied to the diagnostic classification and prognostic prediction of Alzheimer's disease using neuroimaging data.,10_3389_fnagi_2019_00220,2019,10.3389/fnagi.2019.00220,machine_learning
Machine learning methods for predicting progression from mild cognitive impairment to Alzheimer’s disease dementia: a systematic review,machine_learning,This paper systematically reviews machine learning methods applied to neuroimaging data for predicting the progression of mild cognitive impairment to Alzheimer's disease dementia.,10_1186_s13195_021_00900_w,2021,10.1186/s13195-021-00900-w,machine_learning
Functional neural network analysis in frontotemporal dementia and Alzheimer's disease using EEG and graph theory,statistical_modeling,"The study investigates topological changes in functional brain networks in Alzheimer's disease using EEG and graph theory, revealing decreased clustering and path length as indicators of a deviant network structure.",10_1186_1471_2202_10_101,2009,10.1186/1471-2202-10-101,statistical_modeling
Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects,machine_learning,The paper presents a machine learning framework for predicting early conversion to Alzheimer's disease in MCI patients using MRI data.,10_1016_j_neuroimage_2014_10_002,2014,10.1016/j.neuroimage.2014.10.002,machine_learning
"Classification of Alzheimer Disease, Mild Cognitive Impairment, and Normal Cognitive Status with Large-Scale Network Analysis Based on Resting-State Functional MR Imaging",machine_learning,"This paper presents a large-scale network analysis method using resting-state functional MR imaging to classify subjects with Alzheimer's disease, mild cognitive impairment, and normal cognitive status.",10_1148_radiol_10100734,2011,10.1148/radiol.10100734,machine_learning; statistical_modeling
Predicting Prodromal Alzheimer's Disease in Subjects with Mild Cognitive Impairment Using Machine Learning Classification of Multimodal Multicenter Diffusion‐Tensor and Magnetic Resonance Imaging Data,machine_learning,This paper demonstrates that diffusion tensor imaging provides better prediction accuracy than gray matter volume in detecting predementia Alzheimer's disease.,10_1111_jon_12214,2015,10.1111/jon.12214,machine_learning
Deep learning to detect Alzheimer's disease from neuroimaging: A systematic literature review,machine_learning,"This paper reviews deep learning techniques used to detect Alzheimer's disease from neuroimaging, contributing to the understanding of computational methods in Alzheimer's research.",10_1016_j_cmpb_2019_105242,2019,10.1016/j.cmpb.2019.105242,machine_learning
A Deep Learning Model to Predict a Diagnosis of Alzheimer Disease by Using <sup>18</sup>F-FDG PET of the Brain,machine_learning,This paper develops and validates a deep learning algorithm for predicting the diagnosis of Alzheimer's disease using PET imaging.,10_1148_radiol_2018180958,2018,10.1148/radiol.2018180958,machine_learning
Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,machine_learning,"The paper proposes a machine learning framework for early-stage Alzheimer's disease prediction, achieving an accuracy of 83% using various algorithms on OASIS data.",10_3389_fpubh_2022_853294,2022,10.3389/fpubh.2022.853294,machine_learning
A deep learning model for early prediction of Alzheimer's disease dementia based on hippocampal magnetic resonance imaging data,machine_learning,This paper presents a deep learning model for predicting the progression of mild cognitive impairment to Alzheimer's disease dementia using MRI data.,10_1016_j_jalz_2019_02_007,2019,10.1016/j.jalz.2019.02.007,machine_learning
"Machine learning techniques for diagnosis of alzheimer disease, mild cognitive disorder, and other types of dementia",machine_learning,This paper presents machine learning techniques for diagnosing Alzheimer's disease and other types of dementia.,10_1016_j_bspc_2021_103293,2021,10.1016/j.bspc.2021.103293,machine_learning
Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,machine_learning,"This paper discusses the application of artificial intelligence and machine learning for biomarker discovery in Alzheimer's disease, highlighting challenges and future directions.",10_1002_alz_13390,2023,10.1002/alz.13390,machine_learning
Application of Machine Learning to Arterial Spin Labeling in Mild Cognitive Impairment and Alzheimer Disease,machine_learning,This study investigates the use of multivariate pattern recognition analysis of ASL perfusion maps for classification and prediction of Alzheimer's disease and mild cognitive impairment diagnoses.,10_1148_radiol_2016152703,2016,10.1148/radiol.2016152703,machine_learning
