paper_id,title,year,doi,authors,venue,source,methodology,study_design,dataset_or_sample,key_finding,paper_limitation,direct_quote,future_work_or_gap,evidence_sections_used,extraction_notes
10_1523_jneurosci_2250_06_2006,Alterations in Memory Networks in Mild Cognitive Impairment and Alzheimer's Disease: An Independent Component Analysis,2006,10.1523/jneurosci.2250-06.2006,Kim Celone; Vince D. Calhoun; Bradford C. Dickerson; Alireza Atri; Elizabeth F. Chua; Saul L. Miller; Kristina M. DePeau; Doreen Rentz; Dennis J. Selkoe; Deborah Blacker; Marilyn Albert; Reisa A. Sperling,Journal of Neuroscience,collected:openalex,independent_component_analysis; multivariate_analytic_techniques,observational_study,"52 individuals across the continuum of normal aging, mild cognitive impairment, and mild Alzheimer's disease.","The study reveals a nonlinear trajectory of fMRI activation across cognitive impairment stages, indicating loss of integrity in hippocampal-based memory systems.",The study's findings may be limited by the relatively small sample size and the focus on only early-stage individuals.,"[{""quote"": ""Independent component analyses revealed specific memory-related networks that activated or deactivated during an associative memory paradigm."", ""section"": ""abstract"", ""reason"": ""This quote summarizes the use of advanced analytical methods in studying memory networks relevant to Alzheimer's disease.""}]",Further research is needed to explore the mechanisms underlying the observed hyperactivation and hypoactivation patterns in other stages of Alzheimer's disease.,abstract; title,
10_1016_j_neuroimage_2014_06_077,Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis,2014,10.1016/j.neuroimage.2014.06.077,Heung‐Il Suk; Seong‐Whan Lee; Dinggang Shen,NeuroImage,collected:openalex,deep_learning; feature_representation,unclear,unclear,unclear,unclear,[],unclear,title,The study design is unclear due to lack of evidence.
10_1016_j_neuroimage_2019_01_031,A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease,2019,10.1016/j.neuroimage.2019.01.031,S Spasov; Luca Passamonti; Andrea Duggento; Píetro Lió; Nicola Toschi,NeuroImage,collected:openalex,deep_learning,unclear,unclear,unclear,unclear,[],unclear,title,
10_1371_journal_pcbi_1000100,Network Analysis of Intrinsic Functional Brain Connectivity in Alzheimer's Disease,2008,10.1371/journal.pcbi.1000100,Kaustubh Supekar; Vinod Menon; Daniel J. Rubin; Mark A. Musen; Michael D. Greicius,PLoS Computational Biology,collected:openalex,wavelet_analysis; graph_analysis,observational_study,task-free fMRI data from 21 AD subjects and 18 age-matched controls,Functional brain networks in Alzheimer's disease showed loss of small-world properties and disrupted local connectivity.,Limited sample size may affect the generalizability of the findings.,"[{""quote"": ""our findings further suggest that these network measures may be useful as an imaging-based biomarker to distinguish AD from healthy aging."", ""section"": ""abstract"", ""reason"": ""This quote supports the narrative of potential clinical application.""}]",unclear,abstract; title,
10_1109_isbi_2014_6868045,Early diagnosis of Alzheimer's disease with deep learning,2014,10.1109/isbi.2014.6868045,Siqi Liu; Sidong Liu; Weidong Cai; Sonia Pujol; Ron Kikinis; Dagan Feng,,collected:openalex,deep_learning; machine_learning,experimental_study,not_reported,The proposed deep learning architecture significantly improves the accuracy of diagnosing Alzheimer's disease.,The existing diagnosis performance bottleneck is due to congenital limitations of chosen learning models.,"[{""quote"": ""The accurate diagnosis of Alzheimer's disease (AD) plays a significant role in patient care."", ""section"": ""abstract"", ""reason"": ""This quote emphasizes the importance of accurate diagnosis in Alzheimer's disease.""}]",Further exploration of deep learning methods to enhance diagnosis performance is suggested.,abstract; title,
10_1007_978_3_642_40763_5_72,Deep Learning-Based Feature Representation for AD/MCI Classification,2013,10.1007/978-3-642-40763-5_72,Heung‐Il Suk; Dinggang Shen,Lecture notes in computer science,collected:openalex,deep_learning,unclear,unclear,unclear,unclear,[],unclear,title,
10_3389_fnagi_2019_00220,Deep Learning in Alzheimer's Disease: Diagnostic Classification and Prognostic Prediction Using Neuroimaging Data,2019,10.3389/fnagi.2019.00220,Taeho Jo; Kwangsik Nho; Andrew J. Saykin,Frontiers in Aging Neuroscience,collected:openalex,deep_learning; systematic_review,mixed_methods_study,publications from PubMed and Google Scholar,Deep learning methods showed promising accuracy for classifying Alzheimer's disease and predicting MCI conversion using multimodal neuroimaging data.,The limitations of existing data and the evolving nature of research in this area.,[],Further improvement in deep learning performance by incorporating hybrid data types and enhancing explainability in the classifiers.,abstract,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,2021,10.1109/access.2021.3090474,Suriya Murugan; Chandran Venkatesan; M. G. Sumithra; Xiao‐Zhi Gao; B. Elakkiya; M. Akila; S. Manoharan,IEEE Access,collected:openalex,deep_learning; convolutional_neural_network,model_development_study,Kaggle MRI image dataset; Alzheimer's Disease Neuroimaging Initiative (ADNI),"The DEMNET model achieves an accuracy of 95.23% and an AUC of 97%, outperforming existing methods in diagnosing Alzheimer's Disease.",The study faces issues with major class imbalance in the dataset.,[],unclear,abstract,
10_1186_1471_2202_10_101,Functional neural network analysis in frontotemporal dementia and Alzheimer's disease using EEG and graph theory,2009,10.1186/1471-2202-10-101,Willem de Haan; Yolande A.L. Pijnenburg; R.L.M. Strijers; Yolande van der Made; Wiesje M. van der Flier; Philip Scheltens; Cornelis J. Stam,BMC Neuroscience,collected:openalex,graph_theory; eeg_analysis,observational_study,"20 patients with mild to moderate AD, 15 FTLD patients, and 23 non-demented individuals.","In AD, clustering coefficient and characteristic path length decreased, indicating a deviation from optimal brain network structure.",Using SMC as a control group may underestimate differences due to underlying neurodegenerative diseases.,"[{""quote"": ""The large-scale functional brain network organization in AD deviates from the optimal 'small-world' network structure."", ""section"": ""abstract"", ""reason"": ""Highlights the key finding about brain network changes in AD.""}]",Future research should explore how network characteristics in FTLD differ from AD.,abstract; title,
10_1016_j_neuroimage_2014_10_002,Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects,2014,10.1016/j.neuroimage.2014.10.002,Elaheh Moradi; Antonietta Pepe; Christian Gaser; Heikki Huttunen; Jussi Tohka,NeuroImage,collected:openalex,machine_learning,unclear,unclear,unclear,unclear,[],unclear,title,
